id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
119,4,single_5,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,qiskit_standard,,,,16,33,120,184,0,202,330,1023,efficient_su2_16__qiskit_standard
120,5,single_1,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,wisq_rules,,,,8,27,56,104,0,35,14,110,efficient_su2_8__wisq_rules
121,5,single_1,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,wisq_rules,,,,8,27,56,104,0,35,14,110,efficient_su2_8__wisq_rules
122,5,single_2,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,wisq_bqskit,,,,8,27,56,104,0,26,14,110,efficient_su2_8__wisq_bqskit
123,5,single_2,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,wisq_bqskit,,,,8,27,56,104,0,33,14,110,efficient_su2_8__wisq_bqskit
124,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
125,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
126,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
127,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
128,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
129,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
130,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
131,5,single_3,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,tket,,,,8,27,56,104,0,33,56,152,efficient_su2_8__tket
132,5,single_4,efficient_su2_8,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_8.qasm,qiskit_ai,,,,8,27,56,104,0,68,104,152,efficient_su2_8__qiskit_ai
